City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,zanjan,36.6736,48.4787,-9.69,92,21,1.49,IR,1675469417
157,nizwa,22.9333,57.5333,18.5,52,0,0.86,OM,1675469418
158,muros,42.7762,-9.0603,4.35,92,0,2.35,ES,1675469418
159,pisco,-13.7,-76.2167,23.03,88,0,7.2,PE,1675469153
160,casas grandes,30.3667,-107.95,16.26,19,21,4.01,MX,1675469419
161,tuatapere,-46.1333,167.6833,28.21,40,1,2.85,NZ,1675469419
162,grindavik,63.8424,-22.4338,2.26,75,75,18.01,IS,1675469420
163,hilo,19.7297,-155.09,28.49,71,75,4.12,US,1675469420
164,gladstone,-23.85,151.25,26.55,83,100,3.09,AU,1675469421
165,tiksi,71.6872,128.8694,-35.89,100,91,0.28,RU,1675469421
166,darovskoy,58.77,47.9564,-4.89,97,100,1.95,RU,1675469421
167,belaya gora,68.5333,146.4167,-29.13,98,99,2.09,RU,1675469422
168,abis,9.7173,122.9438,25.34,81,63,3.82,PH,1675469422
169,canandaigua,42.8742,-77.288,-14.81,72,100,7.6,US,1675469183
170,laguna,38.421,-121.4238,14.1,75,100,3.6,US,1675469423
171,czluchow,53.6672,17.3588,-0.81,85,100,8.1,PL,1675469423
172,leningradskiy,69.3833,178.4167,-30.8,97,100,0.61,RU,1675469424
173,yumen,40.2833,97.2,-7.48,49,52,2.86,CN,1675469425
174,saint-philippe,-21.3585,55.7679,25.77,87,69,4.01,RE,1675469426
175,broken hill,-31.95,141.4333,16.4,41,0,5.65,AU,1675469427
176,vytegra,61.0064,36.4481,-7.37,98,99,1.26,RU,1675469427
177,itoman,26.1247,127.6694,17.01,70,75,3.09,JP,1675469427
178,samarai,-10.6167,150.6667,29.42,71,95,3.44,PG,1675469428
179,lamu,-2.2717,40.902,25.12,91,60,4.03,KE,1675469428
180,bulawayo,-20.15,28.5833,19.82,74,98,3.92,ZW,1675469429
181,fengzhen,40.4394,113.1536,-9.71,52,0,1.26,CN,1675469429
182,port lincoln,-34.7333,135.8667,17.03,62,78,4.56,AU,1675469215
183,san patricio,28.017,-97.5169,14.91,65,10,2.74,US,1675469429
184,mar del plata,-38.0023,-57.5575,21.08,74,1,3.13,AR,1675469335
185,saint-georges,12.0564,-61.7485,24.86,77,14,6.41,GD,1675469430
